name,countries,color
USA,USA,"rgba(3, 4, 94, 0.8)"
US FAS,"PLW, FSM, MHL","rgba(16, 75, 149, 0.8)"
US Treaty Ally,"JPN, KOR, PHL, THA, AUS","rgba(0, 150, 199, 0.8)"
Taiwan,TWN,"rgba(11, 213, 42, 0.8)"
Policing Agreements,"PNG, FJI, ARG, KAZ, LBR, MMR, PRK, PAN, PNG, TUN, UZB, MOR, DZA, EGY, SDN, ERI, DJI, ETH, SEN, GIN, SLE, GHA, NGA, STP, GNQ, GAB, COD, DRC, UGA, KEN, TZA, SYC, COM, AGO, ZMB, NAM, ZWE, MOZ, ZAF, LSO, MDG, MUS, BLR, BOL, KHM, CHN, CUB, IND, IRN, LAO, MLI, MNG, NIC, PAK, RUS, SRB, SSD, SYR, TUR, UKR, VE","rgba(106, 4, 15, 0.8)"
BRI,"CUB, CYP, DOM, CZE, DJI, DMA, ECU, EGY, SLV, GNQ, ERI, EST, ETH, FJI, GAB, GMB, GEO, GHA, GRC, GRD, GIN, GNB, GUY, HND, HUN, IDN, IRN, IRQ, ITA, JAM, JOR, KAZ, KEN, KIR, KOR, KWT, KGZ, LAO, LVA, LBN, LSO, LBR, LBY, LTU, LUX, MDG, MWI, MYS, MDV, MLI, MLT, MRT, FSM, MDA, MNG, MNE, MAR, MOZ, MMR, NAM, NPL, NZL, NIC, NER, NGA, NIU, MKD, OMN, PAK, PAN, PNG, PER, PHL, POL, PRT, QAT, ROU, RUS, RWA, WSM, SAU, SEN, SRB, SYC, SLE, SGP, SVK, SVN, SLB, SOM, ZAF, SSD, LKA, SDN, SUR, SYR, TJK, TZA, THA, TLS, TGO, TON, TTO, TUN, TUR, TKM, UGA, UKR, ARE, URY, UZB, VUT, VEN, VNM, YEM, ZMB, ZWE","rgba(208, 0, 0, 0.8)"
